指数代码,指数简称,指数全称,发布时间,发布机构,指数简介
sz.399415,I100,大数据100,2014/9/12,深圳证券交易所,通过对新浪财经在财经领域的“大数据”进行定性与定量分析，同时考量股票基本面与市场驱动情况，精选出综合排名靠前的100只股票组成指数样本股。
sz.399416,I300,大数据300,2014/9/12,深圳证券交易所,通过对新浪财经在财经领域的“大数据”进行定性与定量分析，同时考量股票基本面与市场驱动情况，精选出综合排名靠前的300只股票组成指数样本股。
sz.399417,新能源车,国证新能源车指数,2014/9/24,深圳证券交易所,以在深交所和上交所上市且满足入围标准的属于能源汽车产业的A股为样本空间，选取平均总市值的比重、平均自由流通市值的比重和平均成交金额的比重综合排名前50名的股票构成样本股。
sz.399418,国证国安,国证国家安全指数,2014/11/21,深圳证券交易所,立足于总体国家安全观，综合考察能源安全、军事安全、社会安防、信息安全、农业与粮食安全五个国家安全相关产业的发展情况，根据市值和流动性综合指标从中精选出100家具有代表性的上市公司股票组成样本股，反映了沪深两市国家安全产业相关上市公司的整体表现。
sz.399419,国证高铁,国证高铁指数,2014/12/10,深圳证券交易所,以A股市场属于高铁及相关产业的上市公司为样本空间，根据市值规模和流动性的综合排名，选出50只股票作为指数样本股（数量不足时则按实际数量入选），反映了高铁及相关产业的整体运行情况。
sz.399420,国证保证,国证保险证券指数,2014/12/10,深圳证券交易所,以A股市场属于保险及证券细分行业的上市公司为样本空间，根据市值规模和流动性的综合排名，选出前30只股票作为指数样本股（数量不足时则按实际数量选入），反映了保险及证券行业的整体运行情况。
sz.399423,中关村50,中关村50指数,2015/2/5,深圳证券交易所,对满足入围标准的股票，计算一段时期（一般为前六个月）个股平均总市值的比重、平均自由流通市值的比重和平均成交金额的比重，并结合上市公司基本面情况进行排名，选取排名靠前的50 只股票构成样本股，旨在反映中关村国家自主创新示范区A股上市公司的运行情况。
sz.399428,国证定增,国证定向增发,2015/2/17,深圳证券交易所,反映沪深两市拟定向增发上市公司的整体表现。
sz.399429,新丝路,新丝路指数,2015/1/8,深圳证券交易所,以沪深A股市场注册地为陕西、甘肃、宁夏、青海与新疆5省的上市公司为样本空间，根据市值和成交金额的综合表现进行排名，选出前100只股票作为指数样本股。
sz.399441,生物医药,国证生物医药,2015/1/20,深圳证券交易所,以沪深A股生物医药产业相关上市公司为备选范围，选取日均总市值比重、日均自由流通市值比重与日均成交金额比重综合排名靠前的30只股票组成指数样本股，旨在反映生物医药产业上市公司综合表现。
sz.399550,央视50,央视财经50指数,2012/6/6,深圳证券交易所,以“成长、创新、回报、公司治理、社会责任”五个维度为考察基础，在A股市场上挑选50家优质上市公司组成样本股。
sz.399551,央视创新,央视50创新,2013/6/6,深圳证券交易所,
sz.399552,央视成长,央视50成长,2013/6/6,深圳证券交易所,
sz.399553,央视回报,央视50回报,2013/6/6,深圳证券交易所,
sz.399554,央视治理,央视50治理,2013/6/6,深圳证券交易所,
sz.399555,央视责任,央视50责任,2013/6/6,深圳证券交易所,
sz.399556,央视生态,央视生态指数,2014/6/6,深圳证券交易所,根据生态循环阶段对相关产业进行划分，选取细分行业中市场代表性强、业绩表现突出的50家A股公司组成样本股，反映生态环保领域细分行业龙头企业的整体表现。
sz.399557,央视文化,央视文化指数,2014/6/6,深圳证券交易所,对满足入围标准的股票，选取一段时期（一般为前六个月）个 股平均总市值、平均自由流通市值和平均成交金额占市场比重综合排名在前 50 的股票构成指数样本股，数量不足则按实际数量选入。
sz.399608,科技100,深证科技100P,2010/10/18,深圳证券交易所,包括全收益指数和纯价格指数，反映中小板与创业板中具备高新技术和自主创新特征上市公司的整体运行情况。
sz.399610,TMT50,深证TMT50P,2010/11/8,深圳证券交易所,为深证电子信息传媒产业50指数的全收益指数，该指数计算及样本选择同深证电子信息传媒产业50指数
sz.399636,深证装备,深证装备指数,2011/11/15,深圳证券交易所,选择在深交所上市交易且满足入围标准的装备制造相关行业A股作为样本空间，选取平均总市值的比重、平均自由流通市值的比重和平均成交金额的比重综合排名在前80名的股票构成初始样本股。
sz.399637,深证地产,深证房地产指数,2011/11/15,深圳证券交易所,选择在深交所上市交易且满足入围标准的房地产及房地产相关行业A股作为样本空间，选取平均总市值的比重、平均自由流通市值的比重和平均成交金额的比重综合排名在前40名的股票构成初始样本股。
sz.399638,深证环保,深证环保指数,22011/11/15,深圳证券交易所,选择在深交所上市交易且满足入围标准的环保相关产业A股作为样本空间，选取平均总市值的比重、平均自由流通市值的比重和平均成交金额的比重综合排名在前40名的股票构成初始样本股。
sz.399639,深证大宗,深证大宗商品生产商指数,2011/11/15,深圳证券交易所,选择在深交所上市交易且满足入围标准的大宗商品生产相关领域上市公司股票作为样本空间，选取平均总市值的比重、平均自由流通市值的比重和平均成交金额的比重综合排名在前40名的A股构成初始样本股。
sz.399641,深证新兴,深证战略性新兴产业指数,2012/2/1,深圳证券交易所,从深圳市场入围个股中选取近半年平均自由流通市值占市场比重和平均成交金额占市场比重综合排名在前200名的股票构成初始成份股。
sz.399642,中小新兴,中小板战略性新兴产业指数,2012/2/1,深圳证券交易所,从中小板市场入围个股中选取近半年平均自由流通市值占市场比重和平均成交金额占市场比重综合排名在前100名的股票构成初始成份股。
sz.399643,创业新兴,创业板战略性新兴产业指数,2012/2/1,深圳证券交易所,从创业板市场入围个股中选取近半年平均自由流通市值占市场比重和平均成交金额占市场比重综合排名前100名的股票构成初始成份股。
sz.399644,深证时钟,深证投资时钟,2012/3/26,深圳证券交易所,在历史相同类型经济周期阶段中，筛选月均收益率较高的多个行业，并根据收益率的高低为所选行业分配市值权重。根据行业的市值权重，优先入选自由流通市值较大的股票直至达到预设权重，并根据样本空间各行业实际自由流通市值的大小进行适当调整，得到100只样本股和相应的权重调整因子。
sz.399646,深消费50,深证消费50,2012/8/6,深圳证券交易所,选取代表性较强、流动性较好的50家A股公司组成样本股，旨在反映深市消费主题上市公司的整体表现。
sz.399647,深医药50,深证医药50,2012/8/6,深圳证券交易所,选取代表性较强、流动性较好的50家A股公司组成样本股，旨在反映深市医药主题上市公司的整体表现。
sz.399648,深证GDP,深证GDP100指数,2012/8/8,深圳证券交易所,以在深交所上市交易且满足入围标准的A股为样本空间，旨在反映国民经济结构变化和行业轮动特点，凸显领跑经济增长的高成长性行业。
sz.399649,中小红利,中小板红利指数,2012/8/20,深圳证券交易所,从入围股票中选取前三年累计流通股本应享有分红金额占市场比重和最近半年日均成交金额占市场比重、经营状况、现金流、公司治理结构等因素综合排名在前50名的股票构成样本股，旨在反映能为投资者提供长期稳定回报的上市公司整体表现。
sz.399650,中小治理,中小板治理指数,2012/8/20,深圳证券交易所,将入围股票按照最近一年主营业务收入占市场比重、净利润占市场比重和巨潮治理评分（1：1：20）综合排名，选取排名在前50名的股票构成样本股。旨在反映治理结构有效、经营业绩良好的上市公司整体表现。
sz.399651,中小责任,中小板企业社会责任指数,2012/8/20,深圳证券交易所,对满足入围标准的股票，在公司为股东创造的净利润的基础上，增加公司年内为国家创造的税收、向员工支付的工资、向银行等债权人给付的借款利息等，计算四项总和与公司净资产比值，最后将计算结果从高到低排序，并综合考虑企业在和谐社区建设以及公益事业中的贡献，最终选取50只股票构成样本股。
sz.399652,中创高新,中创高新指数,2012/9/17,深圳证券交易所,以深交所中小企业板和创业板上市交易且满足入围标准的A股为选样空间，剔除样本空间中过去半年日均流通市值排名后10%的股票以及过去半年日均成交金额排名后10%的股票，在剩余股票中选取过去三年研究开发费用占比排名前50的高新技术企业的股票作为样本股。
sz.399653,深证龙头,深证龙头指数,2012/9/25,深圳证券交易所,以深证1000指数样本股为样本空间，将入围股票依据巨潮行业分类标准划分至28个二级行业，选取过去两年平均营业收入、过去两年平均净利润、过去半年日均成交额和日均流通市值综合排名前50的股票构成初始样本股，旨在反映深市A股各行业龙头公司的整体表现。
sz.399654,深证文化,深证文化指数,2012/11/9,深圳证券交易所,以在深交所上市交易且满足入围标准的A股为选样空间，选取平均流通市值和平均成交金额占市场比重综合排名前50名的股票作为样本股。
sz.399669,深证农业,深证农业综合企业指数,2013/6/24,深圳证券交易所,选取在深交所上市的业务领域涉及农业相关行业同时市值规模和流动性突出的50只A股作为指数样本股。
sz.399670,深周期50,深证周期行业50指数,2013/10/28,深圳证券交易所,在周期性行业范围内，使用过去半年的日均成交额和日均流通市值两个指标进行综合评分，挑选出代表性较强、流动性较好的50只股票构成指数样本股。
sz.399671,深防御50,深证防御行业50指数,2013/10/28,深圳证券交易所,在防御性行业范围内，使用过去半年的日均成交额和日均流通市值两个指标进行综合评分，挑选出代表性较强、流动性较好的50只股票构成指数样本股。
sz.399678,深次新股,深证次新股指,2015/6/18,深圳证券交易所,
sz.399679,深证200R,深证200收益,2015/6/18,深圳证券交易所,
sz.399680,深成能源,深成能源指数,2015/8/31,深圳证券交易所,
sz.399681,深成材料,深成原料指数,2015/8/31,深圳证券交易所,
sz.399682,深成工业,深成工业指数,2015/8/31,深圳证券交易所,
sz.399683,深成可选,深成可选消费,2015/8/31,深圳证券交易所,
sz.399684,深成消费,深成主要消费,2015/8/31,深圳证券交易所,
sz.399685,深成医药,深成医药卫生,22015/8/31,深圳证券交易所,
sz.399686,深成金融,深成金融地产,2015/8/31,深圳证券交易所,
sz.399687,深成信息,深成信息技术,2015/8/31,深圳证券交易所,
sz.399688,深成电信,深成电信业务,2015/8/31,深圳证券交易所,
sz.399689,深成公用,深成公用事业,2015/8/31,深圳证券交易所,
sz.399704,深证上游,深证上游产业指数,2011/10/18,深圳证券交易所,以深市A股为样本空间，在上游产业中选取排名靠前的50只股票构成深证上游产业指数样本股。
sz.399705,深证中游,深证中游产业指数,2011/10/18,深圳证券交易所,以深市A股为样本空间，在中游产业中选取排名靠前的150只股票构成深证中游产业指数样本股。
sz.399706,深证下游,深证下游产业指数,2011/10/18,深圳证券交易所,以深市A股为样本空间，在下游产业中选取排名靠前的100只股票构成深证下游产业指数样本股。
sz.399802,500深市,中证500深市指数,2012/9/5,中证指数有限公司,中证500指数样本股作为样本空间，按照其交易市场的不同分为深市和深市两个市场，其中深市的全部股票构成指数样本股。
sz.399803,工业4.0,中证工业4.0指数,2015/3/10,中证指数有限公司,以中证全指的所有样本股为样本空间，剔除流动性排名后 20%的股票，对纳入工业 4.0 主题的剩余股票按照过去一年日均总市值由高到低排名，选取不超过 80 只股票构成指数样本股。
sz.399804,中证体育,中证体育产业指数,2015/2/9,中证指数有限公司,以中证全指为样本空间，剔除流动性排名后 20% 的股票，对纳入体育产业主题的剩余股票按照过去一年日均总市值由高到低排名，选取不超过 50 只股票构成指数样本股。
sz.399805,互联金融,中证互联网金融指数,2015/2/10,中证指数有限公司,以中证全指为样本空间，剔除流动性排名后 20% 的股票，对纳入互联网金融主题的剩余股票按照过去一年日均总市值由高到低排名，选取不超过100 只股票构成指数样本股。
sz.399806,环境治理,中证环境治理指数,2014/7/21,中证指数有限公司,以中证全指为样本空间，剔除流动性排名后20%的股票，对纳入环保治理主题的剩余股票按照过去一年日均总市值由高到低排名，选取不超过50只股票构成指数样本股。
sz.399807,高铁产业,中证高铁产业指数,2015/1/20,中证指数有限公司,以中证全指的所有样本股为样本空间，剔除流动性排名后10%的股票，选取纳入高铁产业的股票组成指数样本股；当属于高铁产业的股票超过 50 只时，选取过去一年日均总市值排名前50名的高铁产业股票作为指数样本股。
sz.399808,中证新能,中证新能源指数,2015/2/10,中证指数有限公司,以中证全指为样本空间，剔除流动性排名后20%的股票，对新能源相关行业的剩余股票，按照过去一年日均总市值由高到低排名，选取不超过 80 只股票构成指数样本股。
sz.399809,保险主题,中证方正富邦保险主题指数,2015/2/13,中证指数有限公司,以中证全指为样本空间，剔除流动性排名后20%股票，选取过去一年日均总市值排名前20只作为成份股；若保险行业股票数量不足 20 只，则先将保险行业股票纳入成份股，然后将参股保险公司金额大于 1000 万的上市公司，依照参股比例由高到低依次纳入，直到成份股数量达到20只。
sz.399812,养老产业,中证养老产业指数,2014/6/6,中证指数有限公司,
sz.399813,中证国安,中证国防安全指数,2015/1/29,中证指数有限公司,以中证全指为样本空间，剔除流动性排名后20%的股票，选取纳入国防安全主题的剩余股票构成指数样本股，其中隶属于国防或信息安全的样本数量不超过组合样本数量的 60%。
sz.399814,大农业,中证大农业指数,2014/7/22,中证指数有限公司,以中证全指为样本空间，选取纳入大农业主题的股票，采用自由流通调整市值加权，并对个股设置6%的权重上限。
sz.399901,小康指数,中证南方小康产业指数,2010/4/1,中证指数有限公司,以上证180指数样本股剔除数据考察截止日总市值最大的20只股票后剩下的股票作为样本空间，选取综合财务指标降序排名前100名的股票作为样本股。
sz.399922,中证红利,中证红利指数,2008/5/26,中证指数有限公司,挑选在上交所和深交所上市的现金股息率高、分红比较稳定、具有一定规模及流动性的100只股票作为样本，以反映A股市场高红利股票的整体状况和走势。
sz.399926,中证央企,中证中央企业综合指数,2009/3/30,中证指数有限公司,由全部 A 股股票组成样本空间，以表征沪深两市中央企业控股上市公司的整体表现/td>
sz.399927,央企100,中证中央企业100指数,2009/3/30,中证指数有限公司,以上市时间超过三个月（除非该股票的日均总市值排在沪深两市前30位）、经营状况良好、股价无明显的异常波动或市场操纵的中证中央企业综合指数样本为样本空间，以表征沪深两市中央企业控股上市公司的整体表现。
sz.399938,中证民企,中证民营企业综合指数,2009/8/25,中证指数有限公司,由沪深两市全部民营上市公司组成，旨在全面刻画沪深两市民营上市公司股票的整体表现。
sz.399939,民企200,中证民营企业200指数,2009/8/25,中证指数有限公司,挑选沪深两市最具代表性的200家民营上市公司股票为样本，刻画了沪深两市大型民营上市公司股票的整体表现。
sz.399941,新能源,中证内地新能源主题指数,2009/10/28,中证指数有限公司,
sz.399942,内地消费,中证内地消费主题指数,2009/10/28,中证指数有限公司,
sz.399943,内地基建,中证内地基建主题指数,2009/10/28,中证指数有限公司,
sz.399944,内地资源,中证内地资源主题指数,2009/10/28,中证指数有限公司,
sz.399945,内地运输,中证内地运输主题指数,2009/10/28,中证指数有限公司,
sz.399946,内地金融,中证内地金融主题指数,2009/10/28,中证指数有限公司,
sz.399947,内地银行,中证内地银行主题指数,2009/10/28,中证指数有限公司,
sz.399948,内地地产,中证内地地产主题指数,2009/10/28,中证指数有限公司,
sz.399949,内地农业,中证内地农业主题指数,2009/10/28,中证指数有限公司,
sz.399950,300基建,沪深300基建主题指数,2009/10/28,中证指数有限公司,
sz.399953,中证地企,中证地方国有企业综合指数,2010/2/9,中证指数有限公司,挑选沪深两市最具代表性的100家地方国有企业上市公司股票为样本，刻画了沪深两市大型地方国有企业上公司股票的整体表现。
sz.399954,地企100,中证地方国有企业100指数,2010/2/9,中证指数有限公司,挑选沪深两市最具代表性的100家地方国有企业上市公司股票为样本，刻画了沪深两市大型地方国有企业上公司股票的整体表现。
sz.399956,国企200,中证国有企业200指数,2010/2/9,中证指数有限公司,由中证地方国有企业100指数和中证中央企业100指数组合而成，能够全面刻画沪深两市全部国企上市公司股票的整体表现。
sz.399958,创业成长,中证创业成长指数,2010/3/24,中证指数有限公司,由在创业板、中小板以及部分主板市场上市的具备创业和高成长特征的100只股票组成，旨在刻画沪深两市创业和成长特征较为显著的中小型上市股票群体的整体表现。
sz.399959,军工指数,中证中航军工主题指数,2011/8/30,中证指数有限公司,反映A股中航天军工主题公司股票的走势。
sz.399960,中证龙头,中证龙头企业指数,2010/2/9,中证指数有限公司,挑选市值规模大、营业收入与营业利润在各行业中处于领先地位的公司股票构成样本股。
sz.399961,中证上游,中证上游资源产业指数,2010/4/16,中证指数有限公司,从中证800指数样本股中挑选规模大、具有上游资产产业链特征的公司股票组成样本股。
sz.399962,中证中游,中证中游制造产业指数,2010/4/16,深圳证券交易所,从中证800指数样本股中挑选规模大、具有重油制造产业链特征的公司股票组成样本股。
sz.399963,中证下游,中证下游消费与服务产业指数,2010/4/16,深圳证券交易所,从中证800指数样本股中挑选规模大、具有下游消费与服务产业链特征的公司股票组成样本股。
sz.399964,中证新兴,中证新兴产业指数,2010/4/30,中证指数有限公司,选择沪深市中规模大、流动性好的100家新兴产业公司组成，以综合反映沪深市中新兴产业公司的整体表现。
sz.399966,800非银,中证800证券保险指数,2014/4/4,中证指数有限公司,以中证800指数成份股为样本空间，选择综合金融、保险行业的股票作为样本。
sz.399967,中证军工,中证军工指数,2014/4/4,中证指数有限公司,以沪深两市全部A股（非ST、*ST股）作为样本空间，由十大军工集团控股的且主营业务与军工行业相关的上市公司以及其他主营业务为军工行业的上市公司作为指数样本，以反映沪深两市军工行业上市公司的整体表现。
sz.399968,300周期,沪深300周期行业指数,2010/5/28,中证指数有限公司,以沪深300指数样本股为样本空间，选取具有较强周期性特征行业的股票构成样本股。
sz.399969,300非周,沪深300非周期行业指数,2010/5/28,中证指数有限公司,以沪深300指数样本股为样本空间，选取除较强周期性特征行业外的股票构成样本股。
sz.399972,300深市,沪深300深市指数,2012/6/21,中证指数有限公司,将沪深300指数成分股，按照其交易市场的不同分为沪市和深市两个市场，其中深市的全部股票构成指数样本股。
sz.399974,国企改革,中证国有企业改革指数,2014/8/7,中证指数有限公司,在样本空间内，剔除过去一年日均成交金额排名后20%的股票，将全部发生及拟发生改革的国有企业公司作为待选样本，从剩余预期发生改革的国企中按照过去一年日均总市值由高到低排名，选取不超过 100只股票构成指数样本股。
sz.399977,内地低碳,中证内地低碳经济主题指数,2011/1/21,中证指数有限公司,以沪深两市全部A股(非ST、*ST 股)作为样本空间，由低碳经济主题股票中过去一年日均市值排名前 50 的股票构成样本股。
sz.399978,医药100,中证医药100指数,2011/3/18,中证指数有限公司,以沪深A股为样本空间，从医药卫生行业和药品零售行业中挑选日均总市值前100位的公司股票组成样本股。
sz.399979,大宗商品,中证大宗商品股票指数,2011/8/22,中证指数有限公司,以中证800指数为样本空间，挑选目标行业中市值规模大、流动性好的100家公司股票组成样本股，采取等权重加权计算。
sz.399990,煤炭等权,中证煤炭等权指数,2015/1/21,中证指数有限公司,以中证全指为样本空间，如样本空间中纳入煤炭主题的股票数量少于或等于50只，则全部股票构成指数样本股；如果该主题股票数量多于50只，剔除成交金额排名后10%以及累积总市值占比达到98%以后的股票，并且保持剔除后股票数量不少于50只，构成指数样本股。
sz.399991,一带一路,中证一带一路主题指数,2015/2/16,中证指数有限公司,以中证全指为样本空间，剔除流动性排名后10%的股票；将一带一路主题划分为五大相关产业，在每个产业中，选取最具主题代表性的股票入选，并确保每个产业入选的股票总数不超过20个；将五大产业入选的所有股票作为指数样本股。
sz.399992,CSWD并购,中证万得并购重组指数,2015/5/8,中证指数有限公司,以沪深A股股票为样本空间，剔除ST、*ST及暂停上市，以及过去3个月日均成交金额低于3000万元或日均总市值低于20亿的股票，选择剩余股票中处于并购或资产重组进程的股票为备选样本股票，选取并购或资产重组涉及交易资产总价值降序排名前100位的股票为指数样本。
sz.399993,CSWD生科,中证万得生物科技指数,2015/5/8,中证指数有限公司,以沪深A股股票为样本空间，剔除ST、*ST、暂停上市以及上市不满一个月的股票，在剩余股票中选取生物科技相关业务收入或者利润占比超过30%的股票为备选样本股票，选取过去一年日均成交金额及日均总市值综合排名前100位的股票为指数样本。
sz.399994,信息安全,中证信息安全主题指数,2015/3/12,中证指数有限公司,在中证全指样本空间内，剔除流动性排名后20%的股票，将信息安全主题股票按照过去一年日均总市值由高到低排名，选取不超过100只股票构成样本股。
sz.399996,智能家居,中证智能家居指数,2014/9/17,中证指数有限公司,在中证全指样本空间内，剔除流动性排名后20%的股票，将智能家居主题股票按照过去一年日均总市值由高到低排名，选取不超过100只股票构成样本股。
sz.399997,中证白酒,中证白酒指数,2015/1/21,中证指数有限公司,在中证全指样本空间内，剔除流动性排名后20%的股票，将白酒主题股票按照过去一年日均总市值由高到低排名，选取不超过50只股票作为样本股。
